team,mean,std,p50,p90,p95,n_rep
Manchester City,70.065,7.4622020516372745,60.0,70.0,79.0,1.0
Liverpool,68.798,7.571163617206966,59.0,69.0,79.0,1.0
Manchester United,60.591,7.715130733969599,51.0,60.0,71.0,1.0
Tottenham,60.346,8.084531133197746,50.0,60.0,71.0,1.0
Arsenal,60.282,8.086276266852611,50.0,61.0,70.0,1.0
Chelsea,54.83,7.757401451341635,45.0,55.0,65.0,1.0
Brentford,53.61,8.001370002813383,44.0,53.0,64.0,1.0
Nottingham Forest,51.896,7.807697749282064,42.0,52.0,62.0,1.0
Newcastle United,51.783,7.679771473806359,42.0,52.0,62.0,1.0
Luton Town,51.737,8.404907701662964,41.0,51.0,62.0,1.0
West Ham,51.499,7.883155658944149,41.0,51.0,61.0,1.0
Wolverhampton,49.656,8.317381970478618,40.0,49.0,61.0,1.0
Aston Villa,49.382,8.116646841889573,39.0,49.0,60.0,1.0
Crystal Palace,48.477,7.585711173912044,39.0,48.0,58.0,1.0
Everton,47.698,7.941905934337792,38.0,47.5,57.10000000000002,1.0
Brighton,47.348,7.679835667244177,38.0,47.0,57.10000000000002,1.0
Sheffield United,46.12,7.814644500466328,36.0,46.0,56.0,1.0
Burnley,44.504,7.907876991868201,35.0,45.0,54.0,1.0
Bournemouth,43.45,7.647482198997521,33.0,44.0,53.0,1.0
Fulham,41.378,7.539758879696613,32.0,41.0,51.10000000000002,1.0
