team,lambda_home_for,n_home,lambda_away_for,n_away
Arsenal,1.9473684210526316,76,1.4736842105263157,76
Aston Villa,1.486842105263158,76,1.131578947368421,76
Bournemouth,1.105263157894737,38,0.9210526315789473,38
Brentford,1.5,38,1.2894736842105263,38
Brighton,1.2894736842105263,76,1.25,76
Burnley,0.9824561403508771,57,0.9473684210526315,57
Chelsea,1.5526315789473684,76,1.618421052631579,76
Crystal Palace,1.0921052631578947,76,1.0394736842105263,76
Everton,1.1973684210526316,76,1.013157894736842,76
Fulham,1.0526315789473684,38,1.105263157894737,38
Leeds United,1.280701754385965,57,1.3859649122807018,57
Leicester City,1.6578947368421053,76,1.605263157894737,76
Liverpool,2.3157894736842106,76,1.9210526315789473,76
Manchester City,2.8684210526315788,76,2.1052631578947367,76
Manchester United,1.9210526315789473,76,1.4210526315789473,76
Newcastle United,1.4210526315789473,76,1.1578947368421053,76
Norwich City,0.8157894736842105,38,0.47368421052631576,38
Nottingham Forest,1.4210526315789473,19,0.5789473684210527,19
Sheffield United,0.9473684210526315,38,0.6052631578947368,38
Southampton,1.1973684210526316,76,1.131578947368421,76
Tottenham,1.9210526315789473,76,1.605263157894737,76
Watford,1.0263157894736843,38,0.8157894736842105,38
West Bromwich,0.7894736842105263,19,1.0526315789473684,19
West Ham,1.5921052631578947,76,1.2105263157894737,76
Wolverhampton,1.144736842105263,76,0.9078947368421053,76
